rxn,p(gender),p(genotype),p(diet),"p(gender,genotype)","p(gender,diet)","p(genotype,diet)","p(gender,genotype,diet)"
2HYDOGOAT3t_b,0.009293697430393858,0.170141553273702,0.04636546017878046,0.1701415532737007,0.005547715888503849,0.0009139310526001819,1.3758683500055219e-05
2HYDOGOAT3t_f,0.009293697430393858,0.170141553273702,0.04636546017878046,0.1701415532737007,0.005547715888503849,0.0009139310526001819,1.3758683500055219e-05
2HYDOGte,0.009293697430393858,0.170141553273702,0.04636546017878046,0.1701415532737007,0.005547715888503849,0.0009139310526001819,1.3758683500055219e-05
2MCITt_b,0.05236953532427911,0.6867108682606142,0.32844666895320973,0.6867108682606142,0.8474530278849743,0.8474530278849755,0.32844666895321073
2MCITt_f,0.05236953532427911,0.6867108682606142,0.32844666895320973,0.6867108682606142,0.8474530278849743,0.8474530278849755,0.32844666895321073
2OXOADPt_b,0.4863098499127342,1.0,0.8830676703721712,0.4863098499127342,0.88306767037217,0.6912457295706103,0.4297422961890192
2OXOADPt_f,0.4863098499127342,1.0,0.8830676703721712,0.4863098499127342,0.88306767037217,0.6912457295706103,0.4297422961890192
31DMTitr_b,0.3272868812797856,0.3272868812797856,0.3826967066770881,0.3272868812797856,0.382696706677092,0.38269670667709144,0.38269670667708977
31DMTitr_f,0.3272868812797856,0.3272868812797856,0.3826967066770881,0.3272868812797856,0.382696706677092,0.38269670667709144,0.38269670667708977
31DMTtep_b,0.3272868812797856,0.3272868812797856,0.3826967066770881,0.3272868812797856,0.382696706677092,0.38269670667709144,0.38269670667708977
31DMTtep_f,0.3272868812797856,0.3272868812797856,0.3826967066770881,0.3272868812797856,0.382696706677092,0.38269670667709144,0.38269670667708977
34HPLte_b,0.7087792971610323,0.7087792971610323,0.06871947673599958,0.7087792971610323,0.38269670667708977,0.8676095508236162,0.382696706677092
34HPLte_f,0.7087792971610323,0.7087792971610323,0.06871947673599958,0.7087792971610323,0.38269670667708977,0.8676095508236162,0.382696706677092
34HPLtm_b,0.5690799951675936,0.5690799951675936,1.0,0.569079995167592,0.2824295364809992,0.28242953648099967,0.28242953648099967
34HPLtm_f,0.5690799951675936,0.5690799951675936,1.0,0.569079995167592,0.2824295364809992,0.28242953648099967,0.28242953648099967
34HPPte_b,0.7267605003936308,0.7267605003936308,0.24331547469229564,0.2994022088626377,0.6127097573297671,0.6127097573297671,1.0
34HPPte_f,0.7267605003936308,0.7267605003936308,0.24331547469229564,0.2994022088626377,0.6127097573297671,0.6127097573297671,1.0
35DIODTYRte_b,0.17014155327370228,0.170141553273702,0.6127097573297645,0.17014155327370228,0.6127097573297704,0.6127097573297671,0.6127097573297653
35DIODTYRte_f,0.17014155327370228,0.170141553273702,0.6127097573297645,0.17014155327370228,0.6127097573297704,0.6127097573297671,0.6127097573297653
3AIBt,0.3272868812797856,0.3272868812797856,0.38269670667708755,0.32728688127978633,0.38269670667708866,0.3826967066770909,0.38269670667709144
3HIBUP_Rthv_b,1.0,1.0,0.3284466689532121,1.0,0.24331547469229636,0.046365460178782056,0.6127097573297671
3HIBUP_Rthv_f,1.0,1.0,0.3284466689532121,1.0,0.24331547469229636,0.046365460178782056,0.6127097573297671
3HIBUP_Sthv_b,0.3272868812797856,0.3272868812797856,0.3826967066770881,0.3272868812797856,0.3826967066770909,0.3826967066770909,0.38269670667709144
3HIBUP_Sthv_f,0.3272868812797856,0.3272868812797856,0.3826967066770881,0.3272868812797856,0.3826967066770909,0.3826967066770909,0.38269670667709144
3ISPVShc,1.0,1.0,0.6127097573297645,0.17014155327370228,0.2433154746922982,0.24331547469229708,0.6127097573297687
3ISPVStep_b,1.0,1.0,0.6127097573297645,0.17014155327370228,0.2433154746922982,0.24331547469229708,0.6127097573297687
3ISPVStep_f,1.0,1.0,0.6127097573297645,0.17014155327370228,0.2433154746922982,0.24331547469229708,0.6127097573297687
3ITYR_Lte_b,0.17014155327370228,0.170141553273702,0.6127097573297645,0.17014155327370228,0.6127097573297704,0.6127097573297671,0.6127097573297653
3ITYR_Lte_f,0.17014155327370228,0.170141553273702,0.6127097573297645,0.17014155327370228,0.6127097573297704,0.6127097573297671,0.6127097573297653
3MHISc_b,1.0,0.25958128481470527,0.282429536481003,0.2595812848147043,0.03167635202407837,0.28242953648099967,0.2824295364810005
3MHISc_f,1.0,0.25958128481470527,0.282429536481003,0.2595812848147043,0.03167635202407837,0.28242953648099967,0.2824295364810005
3MHISt2_b,0.37997591288224897,0.08626904631755224,0.5568374181775606,1.0,0.266021888490823,0.2660218884908246,0.5568374181775606
3MHISt2_f,0.37997591288224897,0.08626904631755224,0.5568374181775606,1.0,0.266021888490823,0.2660218884908246,0.5568374181775606
3MHISt3_b,0.17014155327370228,0.17014155327370137,0.6127097573297671,0.17014155327370228,0.6127097573297671,0.6127097573297671,0.6127097573297662
3MHISt3_f,0.17014155327370228,0.17014155327370137,0.6127097573297671,0.17014155327370228,0.6127097573297671,0.6127097573297671,0.6127097573297662
3MOBte_b,1.0,1.0,0.3826967066770947,0.056939849936591395,1.0,1.0,0.3826967066770892
3MOBte_f,1.0,1.0,0.3826967066770947,0.056939849936591395,1.0,1.0,0.3826967066770892
3MOPt_b,0.1466556460682006,0.6216287223139874,0.7808037458582777,0.6216287223139874,0.4831174622668122,0.05635556761622608,0.19522821099709856
3MOPt_f,0.1466556460682006,0.6216287223139874,0.7808037458582777,0.6216287223139874,0.4831174622668122,0.05635556761622608,0.19522821099709856
3MOXTYRt_b,0.14362686489747664,0.4570477844059565,0.17786505113383677,0.4570477844059576,0.8676095508236127,0.8676095508236162,0.867609550823615
3MOXTYRt_f,0.14362686489747664,0.4570477844059565,0.17786505113383677,0.4570477844059576,0.8676095508236127,0.8676095508236162,0.867609550823615
3MTPte,0.1466556460682006,0.1466556460682006,0.38269670667708977,0.6216287223139874,0.06871947673600039,1.0,0.3826967066770892
3OHGLUTACOAT3t_b,0.37997591288224897,0.37997591288224897,0.5568374181775622,0.37997591288224897,0.8200814425978178,0.09504749669467184,0.2660218884908242
3OHGLUTACOAT3t_f,0.37997591288224897,0.37997591288224897,0.5568374181775622,0.37997591288224897,0.8200814425978178,0.09504749669467184,0.2660218884908242
3OHGLUTACte,0.37997591288224897,0.37997591288224897,0.5568374181775622,0.37997591288224897,0.8200814425978178,0.09504749669467184,0.2660218884908242
3PGtr_b,0.19494067481237456,0.5113437762983999,0.47066400021985894,1.0,0.1430343722797913,0.47066400021985827,0.7197958201910005
3PGtr_f,0.19494067481237456,0.5113437762983999,0.47066400021985894,1.0,0.1430343722797913,0.47066400021985827,0.7197958201910005
4ABUTtcn,0.09609990712790006,0.5690799951675936,0.3826967066770892,0.5690799951675936,0.38269670667709144,0.7197958201909995,0.7197958201909995
4HPRO_LTte_b,1.0,0.1436268648974764,0.38269670667709144,0.4570477844059565,0.06871947673600004,0.38269670667708977,0.8676095508236162
4HPRO_LTte_f,1.0,0.1436268648974764,0.38269670667709144,0.4570477844059565,0.06871947673600004,0.38269670667708977,0.8676095508236162
4MOPte_b,0.3272868812797856,0.32728688127978495,0.382696706677087,0.3272868812797856,0.38269670667708977,0.3826967066770909,0.3826967066770931
4MOPte_f,0.3272868812797856,0.32728688127978495,0.382696706677087,0.3272868812797856,0.38269670667708977,0.3826967066770909,0.3826967066770931
4MTOLBUTAMIDEte_b,0.6867108682606167,0.6867108682606142,0.8474530278849755,0.2325569806033025,0.3284466689532121,0.13644664093389314,0.6127097573297687
4MTOLBUTAMIDEte_f,0.6867108682606167,0.6867108682606142,0.8474530278849755,0.2325569806033025,0.3284466689532121,0.13644664093389314,0.6127097573297687
4OHBUTm,0.4863098499127342,0.4863098499127342,0.24331547469229892,0.4863098499127342,0.04636546017878214,0.1572673339111648,0.6127097573297662
4OHBUTtce,0.4863098499127342,0.4863098499127342,0.24331547469229892,0.4863098499127342,0.04636546017878214,0.1572673339111648,0.6127097573297662
4OHBUTtmc,0.4863098499127342,0.4863098499127342,0.24331547469229892,0.4863098499127342,0.04636546017878214,0.1572673339111648,0.6127097573297662
56DTHMt_b,0.3272868812797856,1.0,0.19522821099709944,0.3272868812797856,0.7808037458582777,0.48311746226681423,0.7808037458582767
56DTHMt_f,0.3272868812797856,1.0,0.19522821099709944,0.3272868812797856,0.7808037458582777,0.48311746226681423,0.7808037458582767
56DTHMtd_b,0.7267605003936308,0.2994022088626377,0.21783959514058604,0.7267605003936308,0.429742296189018,0.34117971936370656,0.429742296189018
