rxn,q(gender),q(genotype),q(diet),"q(gender,genotype)","q(gender,diet)","q(genotype,diet)","q(gender,genotype,diet)"
1531TACRitr_b,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.6207327933383019,0.8702069355586485,0.573115539909205,1.0
1531TACRitr_f,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.6207327933383019,0.8702069355586485,0.573115539909205,1.0
1531TACRtev,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.6207327933383019,0.8702069355586485,0.573115539909205,1.0
1531TALThr,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.6207327933383019,0.8702069355586485,0.573115539909205,1.0
15DMThr,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.6207327933383019,0.8702069355586485,0.573115539909205,1.0
15DMTitr_b,0.8737236932231282,0.7353740296836329,0.8593985044417837,0.7351539237184478,0.8702069355586485,0.8104979806794569,1.0
15DMTitr_f,0.8737236932231282,0.7353740296836329,0.8593985044417837,0.7351539237184478,0.8702069355586485,0.8104979806794569,1.0
15DMTtep_b,0.8737236932231282,0.7353740296836329,0.8593985044417837,0.7351539237184478,0.8702069355586485,0.8104979806794569,1.0
15DMTtep_f,0.8737236932231282,0.7353740296836329,0.8593985044417837,0.7351539237184478,0.8702069355586485,0.8104979806794569,1.0
15KPROSTGF2t_b,0.8737236932231282,0.8383113198355097,0.9511627291816727,0.6207327933383019,0.8702069355586485,0.573115539909205,1.0
15KPROSTGF2t_f,0.8737236932231282,0.8383113198355097,0.9511627291816727,0.6207327933383019,0.8702069355586485,0.573115539909205,1.0
1PPDCRp,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.7840296801598975,0.8702069355586485,0.6721905116517009,1.0
2DR1PP,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.8198738886342521,0.8702069355586485,0.573115539909205,1.0
2HYDOGOAT3t_b,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.6207327933383019,0.8702069355586485,0.1621030344519316,0.009897079664373054
2HYDOGOAT3t_f,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.6207327933383019,0.8702069355586485,0.1621030344519316,0.009897079664373054
2HYDOGte,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.6207327933383019,0.8702069355586485,0.1621030344519316,0.009897079664373054
2MCITt_b,0.8737236932231282,0.8133490964360103,0.8593985044417837,0.8198738886342521,0.9368871076720182,0.9150881331877794,1.0
