rxn,F_WT_(LFnC:HFnC),F_WT_(LFnC<HFnC),F_WT_(LFnC>HFnC),F_WT_(LFnC:HFC),F_WT_(LFnC<HFC),F_WT_(LFnC>HFC),F_WT_(HFnC:HFC),F_WT_(HFnC<HFC),F_WT_(HFnC>HFC),F_KO_(LFnC:HFnC),F_KO_(LFnC<HFnC),F_KO_(LFnC>HFnC),F_KO_(LFnC:HFC),F_KO_(LFnC<HFC),F_KO_(LFnC>HFC),F_KO_(HFnC:HFC),F_KO_(HFnC<HFC),F_KO_(HFnC>HFC),F_(LFnC:HFnC),F_(LFnC<HFnC),F_(LFnC>HFnC),F_(LFnC:HFC),F_(LFnC<HFC),F_(LFnC>HFC),F_(HFnC:HFC),F_(HFnC<HFC),F_(HFnC>HFC),M_WT_(LFnC:HFnC),M_WT_(LFnC<HFnC),M_WT_(LFnC>HFnC),M_WT_(LFnC:HFC),M_WT_(LFnC<HFC),M_WT_(LFnC>HFC),M_WT_(HFnC:HFC),M_WT_(HFnC<HFC),M_WT_(HFnC>HFC),M_KO_(LFnC:HFnC),M_KO_(LFnC<HFnC),M_KO_(LFnC>HFnC),M_KO_(LFnC:HFC),M_KO_(LFnC<HFC),M_KO_(LFnC>HFC),M_KO_(HFnC:HFC),M_KO_(HFnC<HFC),M_KO_(HFnC>HFC),M_(LFnC:HFnC),M_(LFnC<HFnC),M_(LFnC>HFnC),M_(LFnC:HFC),M_(LFnC<HFC),M_(LFnC>HFC),M_(HFnC:HFC),M_(HFnC<HFC),M_(HFnC>HFC),WT_(LFnC:HFnC),WT_(LFnC<HFnC),WT_(LFnC>HFnC),WT_(LFnC:HFC),WT_(LFnC<HFC),WT_(LFnC>HFC),WT_(HFnC:HFC),WT_(HFnC<HFC),WT_(HFnC>HFC),KO_(LFnC:HFnC),KO_(LFnC<HFnC),KO_(LFnC>HFnC),KO_(LFnC:HFC),KO_(LFnC<HFC),KO_(LFnC>HFC),KO_(HFnC:HFC),KO_(HFnC<HFC),KO_(HFnC>HFC),(LFnC:HFnC),(LFnC<HFnC),(LFnC>HFnC),(LFnC:HFC),(LFnC<HFC),(LFnC>HFC),(HFnC:HFC),(HFnC<HFC),(HFnC>HFC)
THMMPt4_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,0.20232838096364303,1.0,0.3333333333333332,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20232838096364303,1.0,0.3333333333333332,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,0.17965866916478535,1.0,0.3333333333333332,1.0,1.0,1.0,0.17965866916478535,0.3333333333333332,1.0
THMMPtm_cho,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,0.3201867697265244,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.3201867697265244,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.30962837708843105,0.552786404500042,0.552786404500042,0.30962837708843105,0.552786404500042,0.552786404500042,0.09381616499744216,1.0,0.3333333333333332,0.25249253754692297,1.0,0.3333333333333332,0.30962837708843105,0.552786404500042,0.552786404500042,0.14121267378400587,0.552786404500042,0.552786404500042,0.14121267378400587,0.552786404500042,0.552786404500042,1.0,1.0,1.0,1.0,1.0,1.0,0.3201867697265244,0.552786404500042,0.552786404500042,0.3201867697265244,0.552786404500042,0.552786404500042,0.2973962611250344,0.552786404500042,0.552786404500042,0.2973962611250344,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.3525805358573885,0.552786404500042,0.552786404500042,0.21861871818026807,0.552786404500042,0.552786404500042,0.35657570926448273,0.552786404500042,0.552786404500042
THMMPtrbc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30962837708843105,0.552786404500042,0.552786404500042,0.30962837708843105,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.3201867697265244,0.552786404500042,0.552786404500042,0.3201867697265244,0.552786404500042,0.552786404500042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.406831857883396,0.7335793204938506,0.15461852312844906,0.1508497912391739,1.0,0.051316701949486114,0.406831857883396,0.7335793204938506,0.15461852312844906,0.3646649005292521,0.33750185654036463,0.33750185654036463,0.2380167464712148,0.7335793204938506,0.15461852312844906,0.4292931006683196,0.7335793204938506,0.15461852312844906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3590241674734249,0.33750185654036463,0.33750185654036463,0.10062131047886197,0.7335793204938506,0.15461852312844906,0.2380167464712148,0.7335793204938506,0.15461852312844906,0.37406918361864344,0.33750185654036463,0.33750185654036463,0.1800410573112644,0.7335793204938506,0.15461852312844906,0.29931858011865164,0.7335793204938506,0.15461852312844906
THMP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,0.25249253754692297,1.0,0.3333333333333332,1.0,1.0,1.0,0.20232838096364303,1.0,0.3333333333333332,0.20232838096364303,1.0,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20232838096364303,1.0,0.3333333333333332,0.20232838096364303,1.0,0.3333333333333332,1.0,1.0,1.0,0.17965866916478535,1.0,0.3333333333333332,0.17965866916478535,1.0,0.3333333333333332
THMPPtm_cho,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,0.3201867697265244,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.3201867697265244,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.30962837708843105,0.552786404500042,0.552786404500042,0.30962837708843105,0.552786404500042,0.552786404500042,0.09381616499744216,0.3333333333333332,1.0,0.25249253754692297,0.3333333333333332,1.0,0.30962837708843105,0.552786404500042,0.552786404500042,0.14121267378400587,0.552786404500042,0.552786404500042,0.14121267378400587,0.552786404500042,0.552786404500042,1.0,1.0,1.0,1.0,1.0,1.0,0.3201867697265244,0.552786404500042,0.552786404500042,0.3201867697265244,0.552786404500042,0.552786404500042,0.2973962611250344,0.552786404500042,0.552786404500042,0.2973962611250344,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.3525805358573885,0.552786404500042,0.552786404500042,0.21861871818026807,0.552786404500042,0.552786404500042,0.35657570926448273,0.552786404500042,0.552786404500042
THMTPt_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0,0.20232838096364303,1.0,0.3333333333333332,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,0.25249253754692297,1.0,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,0.20232838096364303,0.3333333333333332,1.0,0.2973962611250344,0.552786404500042,0.552786404500042,0.20232838096364303,1.0,0.3333333333333332,0.08697250839995457,1.0,0.3333333333333332,0.289835113448498,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.289835113448498,0.552786404500042,0.552786404500042
THMtrbc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0,0.17965866916478535,0.3333333333333332,1.0,0.17965866916478535,0.3333333333333332,1.0
thr_mt,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,0.25249253754692297,1.0,0.3333333333333332,0.30962837708843105,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.30962837708843105,0.552786404500042,0.552786404500042,0.2973962611250344,0.552786404500042,0.552786404500042,0.2973962611250344,0.552786404500042,0.552786404500042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30962837708843105,0.552786404500042,0.552786404500042,0.5,0.7891814893221081,0.367544467966324,0.1728892930755802,0.7891814893221081,0.367544467966324,0.3201867697265244,0.552786404500042,0.552786404500042,0.4292931006683196,0.41953112817892124,0.41953112817892124,0.21133903708531776,0.41953112817892124,0.41953112817892124,1.0,1.0,1.0,0.2973962611250344,0.552786404500042,0.552786404500042,0.2973962611250344,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.4292931006683196,0.41953112817892124,0.41953112817892124,0.4292931006683196,0.41953112817892124,0.41953112817892124,1.0,1.0,1.0,0.2632579950394783,0.41953112817892124,0.41953112817892124,0.2632579950394783,0.41953112817892124,0.41953112817892124
THRA,0.25249253754692297,1.0,0.3333333333333332,0.30962837708843105,0.552786404500042,0.552786404500042,0.09381616499744216,0.3333333333333332,1.0,0.25249253754692297,0.3333333333333332,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14121267378400587,0.552786404500042,0.552786404500042,0.14121267378400587,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.023427088801936845,0.0,1.0,0.023427088801936845,0.0,1.0,0.30962837708843105,0.552786404500042,0.552786404500042,0.30962837708843105,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.2973962611250344,0.552786404500042,0.552786404500042,0.15543143512944874,0.552786404500042,0.552786404500042,0.056097912042340055,0.552786404500042,0.552786404500042,0.20232838096364303,1.0,0.3333333333333332,0.017047146596295252,0.552786404500042,0.552786404500042,0.003367973672476844,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3259809229337265,0.552786404500042,0.552786404500042,0.056198574432311466,0.552786404500042,0.552786404500042,0.021208748481981756,0.552786404500042,0.552786404500042
THRATB0tc,0.25249253754692297,0.3333333333333332,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,0.25249253754692297,1.0,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,0.25249253754692297,1.0,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20232838096364303,1.0,0.3333333333333332,0.20232838096364303,1.0,0.3333333333333332,0.2973962611250344,0.552786404500042,0.552786404500042,1.0,1.0,1.0,0.2973962611250344,0.552786404500042,0.552786404500042,0.20232838096364303,1.0,0.3333333333333332,0.20232838096364303,1.0,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,0.289835113448498,0.552786404500042,0.552786404500042,0.289835113448498,0.552786404500042,0.552786404500042
