rxn,F_LFnC_(WT:KO),F_LFnC_(WT<KO),F_LFnC_(WT>KO),F_HFnC_(WT:KO),F_HFnC_(WT<KO),F_HFnC_(WT>KO),F_HFC_(WT:KO),F_HFC_(WT<KO),F_HFC_(WT>KO),F_(WT:KO),F_(WT<KO),F_(WT>KO),M_LFnC_(WT:KO),M_LFnC_(WT<KO),M_LFnC_(WT>KO),M_HFnC_(WT:KO),M_HFnC_(WT<KO),M_HFnC_(WT>KO),M_HFC_(WT:KO),M_HFC_(WT<KO),M_HFC_(WT>KO),M_(WT:KO),M_(WT<KO),M_(WT>KO),LFnC_(WT:KO),LFnC_(WT<KO),LFnC_(WT>KO),HFnC_(WT:KO),HFnC_(WT<KO),HFnC_(WT>KO),HFC_(WT:KO),HFC_(WT<KO),HFC_(WT>KO),(WT:KO),(WT<KO),(WT>KO)
31DMTitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5587068915931912,1.0,1.0,1.0,1.0,1.0,0.3948133077019069,1.0,0.9702917479831962,1.0,1.0,1.0,0.42833896427926466,1.0,1.0,1.0,1.0,1.0,0.3364504403111475,1.0,0.7842146107540795
31DMTtep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5587068915931912,1.0,1.0,1.0,1.0,1.0,0.3948133077019069,1.0,0.9702917479831962,1.0,1.0,1.0,0.42833896427926466,1.0,1.0,1.0,1.0,1.0,0.3364504403111475,1.0,0.7842146107540795
34HPLte,0.657507953799812,1.0,1.0,0.5917571584198308,1.0,1.0,0.7165808337623772,1.0,1.0,0.5057988546225176,1.0,1.0,0.5874818922179581,1.0,1.0,1.0,1.0,1.0,0.8409543000223242,1.0,1.0,0.6354491303916484,1.0,0.9702917479831962,1.0,1.0,1.0,0.42833896427926466,1.0,1.0,0.6688611605918388,1.0,1.0,0.4534207611089809,0.8176325129671733,0.7842146107540795
34HPLtm,1.0,1.0,1.0,0.5917571584198308,1.0,1.0,1.0,1.0,1.0,0.38715632234041547,1.0,1.0,0.5298204066558384,1.0,1.0,1.0,1.0,1.0,0.6493780254684387,1.0,1.0,0.6802943581357318,1.0,0.9702917479831962,0.36595046296032824,1.0,1.0,0.42833896427926466,1.0,1.0,0.4775523771964567,1.0,1.0,0.42851207578517314,0.8176325129671733,0.7842146107540795
34HPPte,1.0,1.0,1.0,0.5917571584198308,1.0,1.0,0.7165808337623772,1.0,1.0,0.6695409482930472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6656610070738362,1.0,1.0,0.48216951482444437,1.0,0.9702917479831962,1.0,1.0,1.0,0.42833896427926466,1.0,1.0,0.4775523771964567,1.0,1.0,0.4433938212677349,0.8176325129671733,1.0
35DIODTYRte,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5587068915931912,1.0,1.0,0.6493780254684387,1.0,1.0,0.3948133077019069,1.0,1.0,1.0,1.0,1.0,0.42833896427926466,1.0,1.0,0.4775523771964567,1.0,1.0,0.3364504403111475,0.8176325129671733,1.0
3AIBt,0.657507953799812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38715632234041547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36595046296032824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3364504403111475,0.8176325129671733,1.0
3HIBUP_Rthv,0.6971875770976309,1.0,1.0,0.5917571584198308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5298204066558384,1.0,1.0,0.5587068915931912,1.0,1.0,0.6493780254684387,1.0,1.0,1.0,1.0,1.0,0.36595046296032824,1.0,1.0,0.42833896427926466,1.0,1.0,0.4775523771964567,1.0,1.0,1.0,1.0,1.0
3HIBUP_Sthv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5298204066558384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3948133077019069,1.0,1.0,0.36595046296032824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3364504403111475,0.8176325129671733,1.0
3ISPVShc,1.0,1.0,1.0,1.0,1.0,1.0,0.7165808337623772,1.0,1.0,0.38715632234041547,1.0,1.0,0.5298204066558384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3948133077019069,1.0,0.9702917479831962,0.36595046296032824,1.0,1.0,1.0,1.0,1.0,0.4775523771964567,1.0,1.0,1.0,1.0,1.0
